variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk
hybrid_dense_hash_k5_rerank,q011,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.772e-05,8e-05,8e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q012,policy_reasoning,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.856e-05,8.084e-05,8.084e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q013,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.532e-05,7.76e-05,7.76e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,0.75,0.08750000000000002
hybrid_dense_hash_k5_rerank,q014,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.676e-05,7.904e-05,7.904e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q015,multi_hop,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.784e-05,8.012e-05,8.012e-05,203.1,90.0,310.0,603.1,603.1,0.5,1.0,0.6131471927654584,0.2,0.5,1.0,0.8,0.07000000000000006
hybrid_dense_hash_k5_rerank,q016,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.544e-05,7.772e-05,7.772e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q017,vendor_risk,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.724e-05,7.952e-05,7.952e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q018,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.628e-05,7.856e-05,7.856e-05,203.1,90.0,310.0,603.1,603.1,1.0,0.5,0.6309297535714575,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q019,policy_reasoning,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.928e-05,8.156e-05,8.156e-05,203.1,90.0,310.0,603.1,603.1,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.07000000000000006
hybrid_dense_hash_k5_rerank,q020,cost_latency,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.772e-05,8e-05,8e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q021,cost_latency,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.64e-05,7.868e-05,7.868e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
